EI-10201A,LIC10201,FIC-10203,FIC-10101,TI-11701,PDIC-10102,LIC-10101,TI-10403,PIC-10201,PIC-10101,FI-10302
12.76224,167.0883,61.51571,62.7528,33.6,0.0561,172.0932,206.3,1.290004,1.400895,62.69361
12.76224,167.076,61.7834,63.10042,33.6,0.0558,172.1301,206.3,1.290221,1.400787,62.63393
12.76115,167.076,62.17787,63.2694,33.6,0.0557,172.1547,206.3,1.290221,1.400787,62.17279
12.76549,167.2051,61.83779,62.85232,33.6,0.0559,172.1609,206.3,1.290547,1.401438,62.67191
12.77092,167.119,61.40133,62.50332,33.6,0.056,172.1793,206.3,1.289245,1.39981,63.25241
12.78286,167.0883,61.89707,63.06327,33.6,0.0562,172.0317,206.3,1.289245,1.399593,63.00827
12.78286,167.1129,62.13854,63.21587,33.6,0.0555,172.0871,206.3,1.289679,1.399919,62.52
12.77309,167.0883,61.76856,63.12518,33.6,0.0552,171.8719,206.3,1.288594,1.398834,62.69904
12.78828,167.1129,61.82296,62.56578,33.6,0.0556,171.9334,206.3,1.288919,1.398291,63.04625
12.78937,167.1313,61.32663,62.64897,33.6,0.0556,172.0256,206.3,1.289027,1.398183,63.13305
12.77526,167.1006,61.94149,62.92271,33.6,0.0561,172.001,206.3,1.289245,1.399593,62.76956
12.76549,167.0576,61.77351,62.83574,33.6,0.0557,172.0809,206.3,1.290112,1.400895,62.63393
12.77309,167.0576,61.41129,62.70714,33.6,0.0554,172.1732,206.3,1.289787,1.401221,62.72074
12.77743,167.1067,61.65961,63.09216,33.6,0.0561,171.9456,206.3,1.290655,1.399702,63.25783
12.78286,167.1621,62.13854,63.24469,33.6,0.0558,172.0871,206.3,1.29033,1.401221,63.00827
12.77743,167.1498,62.04009,63.21175,33.6,0.0556,172.0809,206.3,1.290004,1.400244,62.83466
12.77526,167.2359,61.45108,62.5408,33.6,0.0556,172.0686,206.3,1.28957,1.399919,63.48569
12.78286,167.1313,62.0598,62.87303,33.6,0.056,172.124,206.3,1.288485,1.399051,62.61766
12.77309,167.1436,61.60011,62.43662,33.6,0.0561,172.1301,206.3,1.288919,1.399268,63.12762
12.77526,167.1621,61.78835,62.79014,33.6,0.0558,172.1117,206.3,1.289136,1.399593,62.68818
12.77309,167.199,61.69925,62.98063,33.6,0.0559,172.1301,206.3,1.288376,1.398617,63.17103
12.78394,167.1129,61.92175,62.96822,33.6,0.0557,172.0686,206.2,1.287942,1.398508,63.02455
12.77309,167.0268,62.1041,63.0013,33.6,0.0561,172.1178,206.2,1.287942,1.398074,62.15651
12.78069,167.1129,61.91188,62.85232,33.6,0.0556,171.9026,206.3,1.2874,1.397748,62.91604
12.78394,167.1375,61.95629,63.06327,33.6,0.055156,172.1486,206.3,1.287834,1.398074,62.66106
12.76766,167.1744,61.466,62.7362,33.6,0.0558,172.0563,206.2,1.288051,1.397748,62.55798
12.75464,167.0821,61.97109,63.0013,33.7,0.0554,172.0809,206.2,1.288051,1.399593,62.55798
12.75681,167.1313,61.60011,62.37821,33.8,0.0551,172.0871,206.2,1.287617,1.397966,63.11678
12.77526,167.1129,62.13854,63.24469,33.9,0.0559,172.0932,206.2,1.288376,1.397966,62.3681
12.76766,167.0821,61.80813,62.89788,34,0.0558,172.1117,206.2,1.288051,1.397748,63.15475
12.76441,167.1129,61.34656,62.5408,34.1,0.0556,172.0563,206.2,1.287074,1.397206,63.55622
12.76658,167.0699,61.85756,63.12518,34.1,0.055048,172.0071,206.2,1.287508,1.397966,62.91062
12.78286,167.119,61.74382,62.81087,34.1,0.0559,172.0071,206.2,1.287508,1.398291,62.84552
